id,body_region,quality,severity,days_since_onset,context_notes,exercise_title,exercise_steps,education_prompt,risk_neuro,risk_recent_trauma,source,created_at
00275,upper_back,aching,1,15,"after long standing, feels tight then releases. Region: upper back, quality: aching.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.384048Z
00276,neck,electric,7,25,"eases with heat, comes and goes. Region: neck, quality: electric.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",True,False,synthetic_prt_v2,2025-09-11T20:43:27.384059Z
00277,shoulder,throbbing,8,14,"flares after stress, moves around. Region: shoulder, quality: throbbing.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384068Z
00278,head,pressure,5,18,"better after a walk, eases after stretching. Region: head, quality: pressure.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,"Stress and fear can increase pain. Gentle curiosity and breathing help the system settle. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384077Z
00279,jaw,stabbing,7,56,"appears when I worry, moves around. Region: jaw, quality: stabbing.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384086Z
00280,chest,throbbing,7,30,"better after a walk, feels tight then releases. Region: chest, quality: throbbing.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384094Z
00281,abdomen,stiffness,1,37,"after studying for hours, stays in one spot. Region: abdomen, quality: stiffness.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384103Z
00282,hip,dull,10,7,"when I hurry, radiates a little. Region: hip, quality: dull.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384112Z
00283,knee,burning,9,2,"eases with heat, radiates a little. Region: knee, quality: burning.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384122Z
00284,ankle,electric,4,4,"eases with heat, comes and goes. Region: ankle, quality: electric.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384130Z
00285,foot,throbbing,8,9,"after long standing, moves around. Region: foot, quality: throbbing.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384139Z
00286,wrist,dull,9,12,"worse in cold weather, eases with rest. Region: wrist, quality: dull.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,"Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384148Z
00287,elbow,burning,3,44,"improves with gentle movement, lingers most of the day. Region: elbow, quality: burning.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384157Z
00288,hand,pulling,9,50,"better when distracted, comes and goes. Region: hand, quality: pulling.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384165Z
00289,lower_back,tightness,9,40,"flares after stress, feels tight then releases. Region: lower back, quality: tightness.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384174Z
00290,mid_back,shooting,10,14,"flares after stress, radiates a little. Region: mid back, quality: shooting.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384182Z
00291,upper_back,throbbing,4,19,"better after a walk, moves around. Region: upper back, quality: throbbing.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384190Z
00292,neck,burning,8,8,"on stressful days, eases with rest. Region: neck, quality: burning.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.384199Z
00293,shoulder,sharp,7,17,"after studying for hours, feels tight then releases. Region: shoulder, quality: sharp.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,"Stress and fear can increase pain. Gentle curiosity and breathing help the system settle. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384207Z
00294,head,aching,2,29,"better after a walk, spikes then fades. Region: head, quality: aching.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",True,False,synthetic_prt_v2,2025-09-11T20:43:27.384216Z
00295,jaw,shooting,1,6,"flares after poor sleep, lingers most of the day. Region: jaw, quality: shooting.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384228Z
00296,chest,sharp,9,11,"after long standing, eases after stretching. Region: chest, quality: sharp.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384242Z
00297,abdomen,tightness,2,10,"after studying for hours, moves around. Region: abdomen, quality: tightness.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384255Z
00298,hip,throbbing,9,60,"more noticeable in the morning, comes and goes. Region: hip, quality: throbbing.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384269Z
00299,knee,dull,10,16,"on stressful days, moves around. Region: knee, quality: dull.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384283Z
00300,ankle,throbbing,8,37,"after studying for hours, lingers most of the day. Region: ankle, quality: throbbing.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,True,synthetic_prt_v2,2025-09-11T20:43:27.384293Z
00301,foot,tingling,5,18,"when I hurry, radiates a little. Region: foot, quality: tingling.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384303Z
00302,wrist,tightness,3,24,"worse in cold weather, eases after stretching. Region: wrist, quality: tightness.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384317Z
00303,elbow,sharp,9,8,"after studying for hours, eases with rest. Region: elbow, quality: sharp.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384331Z
00304,hand,aching,4,14,"appears when I worry, comes and goes. Region: hand, quality: aching.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384347Z
00305,lower_back,tingling,5,11,"on stressful days, spikes then fades. Region: lower back, quality: tingling.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384360Z
00306,mid_back,pressure,6,14,"better after a walk, lingers most of the day. Region: mid back, quality: pressure.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384373Z
00307,upper_back,pressure,10,14,"when I hurry, radiates a little. Region: upper back, quality: pressure.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,True,synthetic_prt_v2,2025-09-11T20:43:27.384383Z
00308,neck,electric,10,5,"appears when I worry, eases after stretching. Region: neck, quality: electric.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.384392Z
00309,shoulder,sharp,10,14,"worse after screens, lingers most of the day. Region: shoulder, quality: sharp.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,"Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384402Z
00310,head,pressure,9,10,"on stressful days, moves around. Region: head, quality: pressure.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,"Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384412Z
00311,jaw,cramping,2,29,"on stressful days, stays in one spot. Region: jaw, quality: cramping.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384421Z
00312,chest,shooting,6,16,"worse in cold weather, comes and goes. Region: chest, quality: shooting.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384429Z
00313,abdomen,stabbing,3,7,"appears when I worry, stays in one spot. Region: abdomen, quality: stabbing.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384441Z
00314,hip,aching,3,13,"when I hurry, eases after stretching. Region: hip, quality: aching.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384449Z
00315,knee,tingling,7,9,"flares after stress, comes and goes. Region: knee, quality: tingling.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384458Z
00316,ankle,shooting,5,9,"after long standing, eases after stretching. Region: ankle, quality: shooting.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384467Z
00317,foot,tightness,8,10,"more noticeable in the morning, stays in one spot. Region: foot, quality: tightness.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,"Stress and fear can increase pain. Gentle curiosity and breathing help the system settle. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384476Z
00318,wrist,aching,7,10,"after studying for hours, lingers most of the day. Region: wrist, quality: aching.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384484Z
00319,elbow,aching,4,12,"worse after sitting long, stays in one spot. Region: elbow, quality: aching.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384493Z
00320,hand,aching,1,32,"after studying for hours, eases with rest. Region: hand, quality: aching.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384502Z
00321,lower_back,shooting,6,18,"on stressful days, lingers most of the day. Region: lower back, quality: shooting.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384510Z
00322,mid_back,aching,5,17,"when I hurry, spikes then fades. Region: mid back, quality: aching.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384598Z
00323,upper_back,pulling,10,23,"worse after screens, radiates a little. Region: upper back, quality: pulling.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384620Z
00324,neck,aching,8,13,"on stressful days, feels tight then releases. Region: neck, quality: aching.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384637Z
00325,shoulder,stiffness,10,13,"more noticeable in the morning, moves around. Region: shoulder, quality: stiffness.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384651Z
00326,head,electric,2,29,"flares after poor sleep, moves around. Region: head, quality: electric.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384664Z
00327,jaw,burning,1,19,"flares after stress, spikes then fades. Region: jaw, quality: burning.",Jaw and temple release,Tongue to palate | Let jaw hang slightly | Rub temples 20–30s | Exhale slowly and recheck sensation,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384677Z
00328,chest,throbbing,5,10,"appears when I worry, lingers most of the day. Region: chest, quality: throbbing.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384690Z
00329,abdomen,dull,10,12,"after studying for hours, feels tight then releases. Region: abdomen, quality: dull.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384702Z
00330,hip,stabbing,5,18,"more noticeable in the morning, pulses with breath. Region: hip, quality: stabbing.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Movement within a comfortable range reassures the brain and builds confidence.,True,False,synthetic_prt_v2,2025-09-11T20:43:27.384716Z
00331,knee,stiffness,7,18,"flares after poor sleep, spikes then fades. Region: knee, quality: stiffness.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384731Z
00332,ankle,burning,5,13,"appears when I worry, feels tight then releases. Region: ankle, quality: burning.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384746Z
00333,foot,cramping,1,25,"appears during heavy lifting, stays in one spot. Region: foot, quality: cramping.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384761Z
00334,wrist,throbbing,5,11,"after repetitive tasks, eases with rest. Region: wrist, quality: throbbing.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384774Z
00335,elbow,aching,2,23,"eases with heat, radiates a little. Region: elbow, quality: aching.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384788Z
00336,hand,pulling,8,22,"better after a walk, radiates a little. Region: hand, quality: pulling.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384803Z
00337,lower_back,tightness,8,21,"after long standing, lingers most of the day. Region: lower back, quality: tightness.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384818Z
00338,mid_back,aching,9,8,"when I hurry, eases after stretching. Region: mid back, quality: aching.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,"Movement within a comfortable range reassures the brain and builds confidence. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384833Z
00339,upper_back,dull,7,26,"worse after screens, feels tight then releases. Region: upper back, quality: dull.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Movement within a comfortable range reassures the brain and builds confidence.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384849Z
00340,neck,tightness,1,5,"when I hurry, spikes then fades. Region: neck, quality: tightness.",Micro-movements,Gently nod yes/no in a tiny range | Match the motion to your breath | Keep attention on sensations | Stop if sharper pain appears,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384863Z
00341,shoulder,stiffness,4,22,"more noticeable in the morning, stays in one spot. Region: shoulder, quality: stiffness.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384875Z
00342,head,electric,10,8,"worse in cold weather, eases with rest. Region: head, quality: electric.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384887Z
00343,jaw,sharp,1,21,"worse after sitting long, pulses with breath. Region: jaw, quality: sharp.",Eyebrow soften,Close eyes | Relax forehead and brows | Three slow breaths | Notice any shift in pulsing/pressure,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384902Z
00344,chest,cramping,3,7,"when I hurry, pulses with breath. Region: chest, quality: cramping.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384916Z
00345,abdomen,cramping,9,15,"appears during heavy lifting, spikes then fades. Region: abdomen, quality: cramping.",90-second body scan,Place attention on the most active spot | Name qualities you feel | Track subtle shifts with each breath | Stay curious and kind,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384930Z
00346,hip,stiffness,4,19,"flares after stress, stays in one spot. Region: hip, quality: stiffness.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384942Z
00347,knee,tingling,7,23,"more noticeable in the morning, lingers most of the day. Region: knee, quality: tingling.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,"Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down. This is general well-being guidance, not medical advice.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.384955Z
00348,ankle,cramping,1,10,"on stressful days, comes and goes. Region: ankle, quality: cramping.",Sit-to-stand easy reps,Rise from a chair slowly 3–5 times | Stay within a comfortable range | Exhale on the effort | Notice confidence growing,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384969Z
00349,foot,tightness,10,18,"improves with gentle movement, stays in one spot. Region: foot, quality: tightness.",Leg pendulum,Stand supported | Gently swing leg in a small range | Breathe slowly | Track sensations with curiosity,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,True,synthetic_prt_v2,2025-09-11T20:43:27.384982Z
00350,wrist,throbbing,6,10,"follows long car rides, feels tight then releases. Region: wrist, quality: throbbing.",60-second longer exhale,Sit comfortably | Inhale ~4s | Exhale ~6s | Notice changes without forcing,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.384996Z
00351,elbow,electric,8,17,"improves with gentle movement, stays in one spot. Region: elbow, quality: electric.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,Stress and fear can increase pain. Gentle curiosity and breathing help the system settle.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.385014Z
00352,hand,pulling,1,1,"flares after poor sleep, radiates a little. Region: hand, quality: pulling.",Curiosity check-in,Locate the clearest edge of the sensation | Ask 'what exactly is here right now?' | Let the shape/temperature change on its own | Breathe slowly,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.385029Z
00353,lower_back,sharp,7,19,"follows long car rides, feels tight then releases. Region: lower back, quality: sharp.",Back awareness + breath,Place a hand on your low back | Inhale into the hand | Exhale slightly longer | Watch the sensation rise and fall for 60s,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.385043Z
00354,mid_back,stiffness,8,8,"better after a walk, comes and goes. Region: mid back, quality: stiffness.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Pain can be amplified by a protective nervous system. Calm attention teaches safety and can turn the volume down.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.385061Z
00355,upper_back,electric,1,21,"worse in cold weather, spikes then fades. Region: upper back, quality: electric.",Gentle spine wave,Seated or hands and knees | Round then lengthen with breath x5 | Keep movements small and comfortable | Stop if pain sharpens,Discomfort does not always mean damage. Many pains are neuroplastic and change as the brain learns it is safe.,False,False,synthetic_prt_v2,2025-09-11T20:43:27.385075Z
00356,neck,tightness,1,20,"appears when I worry, lingers most of the day. Region: neck, quality: tightness.",Neck soften and shoulder rolls,Roll shoulders back x5 then forward x5 | Ear toward shoulder 10–15s each side | Unclench jaw | Slow exhale while noticing ease,"Your tissues are strong. By observing sensations kindly, you help your brain relax the alarm.",False,False,synthetic_prt_v2,2025-09-11T20:43:27.385090Z
